u_g,g_r,r_i,i_z
1.058672999999998865e+00,4.122409999999980812e-01,1.333010000000030004e-01,3.924800000000061573e-02
2.238458999999998866e+00,9.221490000000009957e-01,3.270419999999987226e-01,1.790260000000003515e-01
1.453909000000003005e+00,5.734750000000019554e-01,2.160789999999970235e-01,1.152349999999984220e-01
1.622886999999998636e+00,6.481130000000021596e-01,2.369559999999992783e-01,1.181389999999993279e-01
1.027256000000001279e+00,3.979479999999995243e-01,1.332200000000014484e-01,1.470999999998667818e-03
2.377599000000000018e+00,1.229133999999998395e+00,5.040590000000015891e-01,3.374799999999993361e-01
1.001492999999999967e+00,3.902380000000000848e-01,1.036639999999984241e-01,8.070000000003574314e-03
1.165739000000002079e+00,4.944039999999958468e-01,1.950470000000024129e-01,1.149600000000106093e-02
2.540231000000002126e+00,1.281481000000002979e+00,6.766589999999972349e-01,3.385080000000009193e-01
8.018779999999985364e-01,3.688670000000016103e-01,1.785840000000007421e-01,1.764939999999981524e-01
1.318210000000000548e+00,5.189060000000011996e-01,1.430659999999974730e-01,2.002260000000042339e-01
2.244832999999999856e+00,1.007699999999999818e+00,4.616129999999998290e-01,2.765180000000029281e-01
1.263842000000000354e+00,4.619140000000001578e-01,2.318630000000005964e-01,8.346899999999735087e-02
9.454670000000007235e-01,2.529390000000013572e-01,1.517720000000011282e-01,4.880299999999948568e-02
7.047299999999978581e-02,2.095890000000011355e-01,2.030999999998783778e-03,9.240899999999996339e-02
1.775008999999997172e+00,6.743529999999999802e-01,2.926269999999995264e-01,1.307070000000010168e-01
1.075016000000001526e+00,4.231949999999997658e-01,1.782380000000003406e-01,7.905000000000228511e-02
1.137259999999997717e+00,3.902359999999998053e-01,1.595000000000013074e-01,3.929999999999900240e-02
5.141470000000012419e-01,1.872499999999988063e-01,3.169300000000063733e-02,6.562399999999968259e-02
9.249499999999990507e-01,1.953110000000002344e-01,7.936099999999868260e-02,3.940000000000054570e-04
2.186578999999998274e+00,8.764170000000017779e-01,3.095289999999977226e-01,1.424210000000023513e-01
1.768380000000000507e-01,9.463000000000221235e-03,1.198739999999993699e-01,-4.541199999999889769e-02
9.384920000000036566e-01,2.608509999999988338e-01,1.335049999999995407e-01,3.623599999999882471e-02
1.106457000000002466e+00,4.199249999999992156e-01,1.088489999999993074e-01,6.970600000000004570e-02
1.556031999999998305e+00,5.850070000000009429e-01,1.871089999999995257e-01,1.009610000000016328e-01
8.762589999999974566e-01,3.307000000000002160e-01,1.756610000000016214e-01,-4.568499999999886541e-02
9.556770000000014420e-01,2.644690000000018415e-01,7.592799999999755300e-02,-6.233200000000138630e-02
1.939116999999999535e+00,7.716810000000009495e-01,3.361699999999991917e-01,1.710949999999993310e-01
9.837639999999971963e-01,2.889179999999988979e-01,1.350250000000023931e-01,5.316499999999990678e-02
8.797239999999995064e-01,2.918820000000010850e-01,8.424499999999923716e-02,-3.334400000000314890e-02
1.118748999999997551e+00,3.753820000000018808e-01,1.232329999999990378e-01,8.793300000000314753e-02
1.170693999999997459e+00,4.247709999999997876e-01,1.586360000000013315e-01,6.246900000000010778e-02
1.097299999999989950e-01,4.448429999999987672e-01,1.010540000000013094e-01,-8.464100000000129853e-02
1.439597999999996603e+00,5.586980000000032476e-01,2.202820000000009770e-01,1.548309999999979425e-01
1.606370999999999327e+00,6.286169999999984270e-01,2.171210000000023399e-01,1.188700000000011414e-01
7.124200000000016075e-01,3.023170000000021673e-01,1.141539999999956478e-01,1.737480000000033442e-01
